file,H4,GS
666.mid,2.3918204276308157,0.550375
552.mid,2.635564847734921,0.6166875
607.mid,2.3708386666784533,0.5714375
649.mid,2.5344044601889166,0.5474375
514.mid,2.5395803711444387,0.6340625
518.mid,2.5550464915825524,0.5655
760.mid,2.629739672546449,0.588375
736.mid,2.584984142957757,0.5681875
704.mid,2.71012247525167,0.57325
576.mid,2.3805015382380823,0.560125
743.mid,2.1583385949546083,0.5596875
513.mid,2.168405151838034,0.6458125
617.mid,2.5849151841218037,0.550625
691.mid,2.3245781889491357,0.643625
675.mid,2.590683892547569,0.62775
546.mid,2.796432612626875,0.5843125
646.mid,2.2882855611319473,0.591
563.mid,2.4565772566103625,0.5970959595959596
744.mid,2.580878573522562,0.6415
677.mid,2.4903049625915683,0.652125
645.mid,2.466504994899371,0.736375
620.mid,2.6124464966740053,0.592625
678.mid,2.590372112557889,0.58425
627.mid,2.524615595606858,0.599375
511.mid,2.5256351994019037,0.6106875
491.mid,2.632492441555674,0.5909375
591.mid,2.6161139205660797,0.59725
768.mid,2.4876590569433628,0.58825
716.mid,2.478667129282618,0.5845
658.mid,2.4274340857424046,0.599375
751.mid,2.5708188175221625,0.696125
559.mid,2.566511642133238,0.62025
536.mid,2.5400630028572415,0.6216875
650.mid,2.3530144043694325,0.668
534.mid,2.6058056793619975,0.6275625
706.mid,2.3463718527259774,0.555625
531.mid,2.4732122720607883,0.6256875
707.mid,2.390942148366805,0.714625
688.mid,2.457813861959627,0.583375
525.mid,2.4927815266262687,0.6221875
638.mid,2.4468991828703937,0.548875
714.mid,2.834563518557647,0.56225
555.mid,2.9151356729893823,0.5791875
647.mid,2.392429346601592,0.5661875
712.mid,2.4411867672279466,0.5639375
651.mid,2.365923325685358,0.6159060846560847
519.mid,2.4686258135103603,0.546875
508.mid,2.659196024903481,0.55625
648.mid,2.6122727108539623,0.5869375
767.mid,2.257858514475231,0.5546875
